"Symbol Name","Pin Name","Pin CenterY","Pin CenterX","Pin Width","Pin Height"
"C-81334","20","15744.0","5376.0","0.0","0.0"
"C-81334","26","11136.0","2304.0","0.0","0.0"
"C-81334","22","12288.0","3840.0","0.0","0.0"
"C-81334","1","2112.0","5376.0","0.0","0.0"
"TB-2W-1J","2","1715.0","29.0","0.0","0.0"
"TB-2W-1J","1","-1741.0","29.0","0.0","0.0"
"TB-2W-1J","J","-1.0","3.0","0.0","0.0"
"C-71483","1","4803.0","358.0","0.0","0.0"
"C-71483","2","6870.0","358.0","0.0","0.0"
"C-71483","3","9001.0","337.0","0.0","0.0"
"TB-(2W-1J)x3","1-J","-2883.0","-20.0","0.0","0.0"
"TB-(2W-1J)x3","3-J","3015.0","-44.0","0.0","0.0"
"TB-(2W-1J)x3","3-2","3910.0","-19.0","0.0","0.0"
"TB-(2W-1J)x3","2-J","78.0","-67.0","0.0","0.0"
"TB-(2W-1J)x3","2-2","1073.0","-44.0","0.0","0.0"
"TB-(2W-1J)x3","3-1","1969.0","-52.0","0.0","0.0"
"TB-(2W-1J)x3","1-2","-1888.0","-20.0","0.0","0.0"
"TB-(2W-1J)x3","2-1","-871.0","-67.0","0.0","0.0"
"TB-(2W-1J)x3","1-1","-3856.0","3.0","0.0","0.0"
"C-61278","20","66.0","-64.0","0.0","0.0"
"C-61278","3","4750.0","2526.0","0.0","0.0"
"C-61278","15","2770.0","-787.0","0.0","0.0"
"C-61278","18","-2866.0","-787.0","0.0","0.0"
"C-61278","9","-4694.0","-2843.0","0.0","0.0"
"C-61278","16","1285.0","-2691.0","0.0","0.0"
"C-61278","4","5435.0","-64.0","0.0","0.0"
"C-61278","11","-4694.0","2564.0","0.0","0.0"
"C-61278","6","2694.0","-4862.0","0.0","0.0"
"C-61278","19","-2257.0","1650.0","0.0","0.0"
"C-61278","1","66.0","5382.0","0.0","0.0"
"C-61278","7","104.0","-5623.0","0.0","0.0"
"C-61278","8","-2752.0","-4785.0","0.0","0.0"
"C-61278","10","-5417.0","-140.0","0.0","0.0"
"C-61278","13","28.0","2792.0","0.0","0.0"
"C-61278","12","-2752.0","4582.0","0.0","0.0"
"C-61278","2","2694.0","4468.0","0.0","0.0"
"C-61278","17","-1228.0","-2767.0","0.0","0.0"
"C-61278","5","4750.0","-2805.0","0.0","0.0"
"C-61278","14","2275.0","1726.0","0.0","0.0"
"C-64123","3","3167.0","-67.0","0.0","0.0"
"C-64123","1","1576.0","2688.0","0.0","0.0"
